DAY,MONTH,YEAR,PRECIPITATION ,MAXIMUM TEMPERATURE ,MINIMUM TEMPERATURE ,WIND SPEED,HUMIDITY ,SOLAR RADIATION,MAXIMUM DEMAND (IN MW)
1,1,2019,0,22.3,5.8,9.4,70.1,160.9,4472
2,1,2019,0,22.7,7.9,11.2,70.6,164.5,4228
3,1,2019,0,19.9,7,21.1,83.1,166.9,4331
4,1,2019,0,17.7,8,21.5,87.3,134.3,4461
5,1,2019,0,20.9,7.6,21.6,78.8,165.6,4170
6,1,2019,5.552,19.2,10.5,22.3,81.6,129.3,3956
7,1,2019,0,19.5,8,11.2,86.7,168.4,4301
8,1,2019,0,19.6,8,15,84.5,158.7,4232
9,1,2019,0,20.3,7,24.3,74.2,173.4,4332
10,1,2019,0,20.5,7.5,11.2,72,174.8,4250
11,1,2019,0,21.5,6.7,9.4,71.9,170.7,4416
12,1,2019,0,22,8.8,11.2,72.2,158.7,4282
13,1,2019,0,22.4,9.6,14.8,74.2,162.9,4055
14,1,2019,0,19,9,24.6,64.5,184.2,4261
15,1,2019,0,18.7,6,18.4,71.1,177.5,4280
16,1,2019,0,20,6.2,9.4,73.3,154.5,4304
17,1,2019,0,21.7,6.3,14.8,74.6,180.8,4154
18,1,2019,0,20.8,6,22.8,78.4,182,4368
19,1,2019,0,25.1,7.7,9.4,71.6,174.5,4088
20,1,2019,0,28,9.5,9.4,63.9,165.8,4100
21,1,2019,10.507,23,13,26.5,79.2,122.9,4019
22,1,2019,29.553,18,13,22.3,95,125.1,3883
23,1,2019,0,18.4,9.8,11.2,93.4,131,4202
24,1,2019,2.701,20.8,11,20.5,86.7,165,4094
25,1,2019,2.552,18,10.5,13,83.5,163.4,4286
26,1,2019,0,18.8,7.3,14.8,70.3,190.7,3582
27,1,2019,0,18.5,5.1,31.8,77.9,170.3,4053
28,1,2019,0,18.8,6,24.6,72.6,197.9,4210
29,1,2019,0,19.8,6,16.6,69.3,198.4,4266
30,1,2019,0,20.2,6.8,13.6,69.6,180.7,4223
31,1,2019,0,20.8,10,16.1,72.6,179.9,4223
1,2,2019,0,21,11.9,15.4,81.4,156.2,4349
2,2,2019,0,17.6,8,21,95.1,195.5,4155
3,2,2019,0,19.6,10,15.6,91.4,198,4386
4,2,2019,0,22.6,8,11.2,81.5,197.9,4212
5,2,2019,0,24.6,10.2,10,77.4,161.5,4138
6,2,2019,0.681,25,13.3,21.8,84.6,159.9,4132
7,2,2019,7.033,18.2,13.3,33.2,93.7,86.3,4096
8,2,2019,0,20.1,8,17.7,78.6,178.2,4318
9,2,2019,0,20,8,18,76.4,212.2,4022
10,2,2019,0,20.6,7,22.4,76.9,175.9,4023
11,2,2019,0,21.8,9.2,11.2,73.9,174.6,4033
12,2,2019,0,22.9,11.3,7.6,78.7,182.5,4086
13,2,2019,0,25,12.4,11.6,73.6,197.8,4007
14,2,2019,9.806,21,15.1,18.4,86.2,104,3959
15,2,2019,0.1,21.5,13.8,15.6,85.8,136.3,4105
16,2,2019,0,19.2,13,16.6,91.4,128,3905
17,2,2019,0,21,11,20.3,83.5,210.4,4071
18,2,2019,0.63,24.8,12.3,21.3,73,157.5,3839
19,2,2019,0,23.9,13.2,12,79.7,203.1,3909
20,2,2019,2.171,20.8,15,11.4,87.5,86.6,3955
21,2,2019,0,27.8,15,15.4,71.6,199.3,3881
22,2,2019,0,23,15,24.5,78.5,214.4,3907
23,2,2019,0,22,9,29.4,66.5,230.8,3657
24,2,2019,0,23.6,13,16.6,65.4,232.7,3747
25,2,2019,1.851,25,11,22.3,65,194.1,3688
26,2,2019,0.17,21,11.7,24.1,67.7,192.5,3760
27,2,2019,0,19,11.3,14.8,71.7,200.4,3957
28,2,2019,0,21.3,9,23.5,69.4,234.7,3911
1,3,2019,0,23.3,8.7,16.6,62.9,243.4,4016
2,3,2019,6.391,18.7,13,18.4,81.3,106.9,3744
3,3,2019,2.722,22.1,12,18.4,85.2,158.6,3844
4,3,2019,0,23.7,12.3,15.4,80.9,213.4,3986
5,3,2019,0,23,12,18,72.4,225.1,3735
6,3,2019,0,24.1,11,16.2,65.8,251,3835
7,3,2019,0,26,10.4,15.9,62.1,252.4,3661
8,3,2019,0,26,13.2,14.4,63.1,239.3,3839
9,3,2019,0,26.2,14.2,14.8,60,236.5,3498
10,3,2019,0,26.8,11.5,16.6,56.4,261.9,3498
11,3,2019,0.555,27.8,14.5,23.8,59.5,207.5,3564
12,3,2019,0,27,15.2,14.8,61.3,232.9,3479
13,3,2019,0,24.8,16,11.2,61.8,153.3,3584
14,3,2019,0.77,24,13.4,18.4,73.2,197,3630
15,3,2019,0,25.8,11,13,71.5,266.8,3776
16,3,2019,0,26,13,14.8,66.1,257.2,3461
17,3,2019,0,27.8,14,14.8,60,267,3418
18,3,2019,0,28.1,13.8,16.6,61.9,263.1,3550
19,3,2019,0,30.9,14.7,11.2,59.6,259.1,3507
20,3,2019,0,34,17.4,16.1,51.7,240.1,3527
21,3,2019,0,31.5,18.8,16.6,51.5,246.4,2356
22,3,2019,0,29.8,17,24.3,45.9,280.3,3095
23,3,2019,0,30.1,16,22.3,49.8,280.4,3142
24,3,2019,0,31.9,15,15.1,51.6,261.5,3152
25,3,2019,0,30.1,17,14.8,61,225.4,3361
26,3,2019,0,30,16,22.4,58.9,281.2,3402
27,3,2019,0,31.2,16,18,51.5,263.1,3516
28,3,2019,0,35,17.6,9.7,54.4,275.3,3512
29,3,2019,0,36.7,20.5,13.5,53.4,263.7,3749
30,3,2019,0.255,39,22,18,50,252.1,3646
31,3,2019,0,34.1,22.4,23.2,42.4,291.6,3330
1,4,2019,0,33.8,16,21.1,41.5,298.2,3565
2,4,2019,0,35,17.7,14.2,42.2,297.5,3662
3,4,2019,0,36.2,19,15.4,42.3,292.7,3762
4,4,2019,0,39,20.7,14.1,44.5,290.2,4086
5,4,2019,0,40,21.5,23,44.1,274.4,4255
6,4,2019,0,38.6,23.9,11.4,38,265.5,3949
7,4,2019,5.851,35,23,32.5,55.2,232.6,3951
8,4,2019,0,36,21.8,17.2,53.2,278.2,4229
9,4,2019,0,37,22.3,11.2,48.7,290.5,4267
10,4,2019,0,38.8,22.9,15.5,44.5,280.7,4404
11,4,2019,0,38.9,24.5,15.3,38.4,282.9,4661
12,4,2019,0.625,37,25,17.8,42.4,280.3,4582
13,4,2019,0,38,23.7,25.4,38.7,277.1,4179
14,4,2019,0,39,24,18.4,37,293.3,4179
15,4,2019,0,40,27,18,33.6,287.6,4798
16,4,2019,1.2,30.5,21,27.7,58.9,161.4,4515
17,4,2019,0.544,28.8,19,25.4,66,191.9,3708
18,4,2019,0,30.8,18,11.5,59.5,274.3,3710
19,4,2019,0,32,19,14.4,51.8,272.3,3707
20,4,2019,0,34.8,15.9,9.4,47.3,284.9,3728
21,4,2019,0,37.2,22.3,16.3,39.5,289.3,3880
